country,continent,gni_per_capita_recent,fem_life_expec_recent,male_life_expec_recent,overall_life_expec_recent,total_population_recent,female_population_recent,male_population_recent
United Arab Emirates,Asia,40880,79.008,76.966,77.647,9630959,2950607,6680352
United Kingdom,Europe,41770,83,79.4,81.15609756,66488991,33666883,32822108
United States,Americas,63080,81.1,76.1,78.53902439,327167434,165285036,161882398
Uruguay,Americas,15650,81.238,73.805,77.632,3449299,1784031,1665268
Uzbekistan,Asia,2020,73.508,69.25,71.388,32955400,16522967,16432433
Vanuatu,Oceania,3130,71.83,68.699,70.172,292680,144258,148422
Vietnam,Asia,2360,79.366,71.124,75.241,95540395,47862308,47678087
West Bank and Gaza,Asia,3710,75.446,72.106,73.74,4569087,2251538,2317549
Zambia,Africa,1430,65.878,60.158,63.043,17351822,8761492,8590330
Zimbabwe,Africa,1790,62.22,59.105,60.812,14439018,7559801,6879217
